text,Username,Timestamp
"@jayblackisfunny @MollyJongFast In the future, college students will study an AI version of Trump.",AaronJavorsky,Wed Jun 23 09:38:43 +0000 2021
"Trump was ripped on Twitter for fueling an election conspiracy theory and attacking late-night comedy. 

I wonder w… https://t.co/SZxltL4Yxa",Reality46886292,Wed Jun 23 09:38:43 +0000 2021
@ACTBrigitte #BrigittEGabriel true #Trump #repug does nothing but protect her evilness hate racism authoritarianism… https://t.co/dNhZ1vthrp,outerspacemanII,Wed Jun 23 09:38:43 +0000 2021
@derspiegel Polarisieren als Erfolgsrezept für die ungarische 🇭🇺 Innenpolitik. Aber Orban will auch die EU 🇪🇺polari… https://t.co/e9k6ddIfMV,SVollmershausen,Wed Jun 23 09:38:43 +0000 2021
2. Love him. Trump should really try and run again he will win very easily! Some of his endorsements and 2020 thoug… https://t.co/XGwJct3J9b,Kelseii2,Wed Jun 23 09:38:44 +0000 2021
@Skyfall007USA @StevePieczenik @HerschelWalker @KLoeffler @DanScavino @DonaldJTrumpJr @EricTrump @seanhannity I’d v… https://t.co/5PCrUbwD2N,PaulyDeathwish,Wed Jun 23 09:38:44 +0000 2021
#Biden #Trump #MAGA https://t.co/hW44lwsAcg,DaveR83185749,Wed Jun 23 09:38:44 +0000 2021
The entire world,starck_jean,Wed Jun 23 09:38:44 +0000 2021
RT @KeithOlbermann: FINALLY! Pelosi ends the foot-dragging and the dreamy bipartisan bullshit: she WILL impanel a House Select Committee to…,PucksM,Wed Jun 23 09:38:44 +0000 2021
"@TheKynik Why not check out the right leaning social media sites then, dimwit?

Rumble, Parler even Trump had a soc… https://t.co/SwCvDpjnOA",kantw8240,Wed Jun 23 09:38:45 +0000 2021
RT @thomaskaine5: Let the pot smokers in prison go home.   Room is needed for the trump organization and republican political criminals,chaser1066,Wed Jun 23 09:38:46 +0000 2021
"RT @tomiahonen: I'll revisit these 4 verses as these 4 Trumpomobsters get arrested (at least 3: Weisselberg, Giuliani &amp; Gaetz this year; Ro…",MrTAchilles,Wed Jun 23 09:38:46 +0000 2021
"RT @DonaldJTrumpJr: 🚨🚨🚨

Any school district that promotes racist Critical Race Theory and woke ideology should lose their taxpayer funding…",KurtSchingoethe,Wed Jun 23 09:38:47 +0000 2021
RT @NoahBookbinder: Donald Trump reportedly tried to pressure the Department of Justice to stop Saturday Night Live from mocking him. It so…,chiaxiong,Wed Jun 23 09:38:47 +0000 2021
The Evidence of Trump’s Pandemic Sabotage Keeps Piling Up https://t.co/QMAfaP7LHd,JamesPixieGirl,Wed Jun 23 09:38:47 +0000 2021
RT @Breaking911: NEW: Biden’s Justice Dept may defend Trump in Capitol riot lawsuits - Reuters,AbdallahZiraba1,Wed Jun 23 09:38:47 +0000 2021
"RT @ResisterSis20: If Biden’s Justice Dept defends Trump in Capitol riot lawsuits, I am turning in my politics card because there will be n…",MacleanJoyce,Wed Jun 23 09:38:49 +0000 2021
"RT @tomiahonen: I am not the only one saying this. Trump cannot hurt us, but he is damaging Republicans... That is good news for us heading…",MrTAchilles,Wed Jun 23 09:38:49 +0000 2021
"RT @BikinInMaine: ""Constitution Doesn’t Prohibit Trump Reinstatement""

https://t.co/rrS7e0AAgt",copperpenny222,Wed Jun 23 09:38:50 +0000 2021
RT @MuffConnoisseur: President Trump denied that he ever admitted defeat in last year’s presidential election. And why should he? Joe didn’…,lisarob1986,Wed Jun 23 09:38:51 +0000 2021
"The truth really butt hurts the left.   YouTube suspends Real America's Voice for interview in which Trump says, ‘I… https://t.co/bB9fZvOtGH",Robinsm86398738,Wed Jun 23 09:38:52 +0000 2021
RT @BetteMidler: #FEC reports show Trump Campaign paid over $2.7 mil to people who helped organize the Capitol insurrection.  UNBELIEVABLE!…,Jim48Robinson,Wed Jun 23 09:38:52 +0000 2021
RT @221_109: @DeadlineWH @FrankFigliuzzi1 @NicolleDWallace I don't get some of these conspiracies  if a Italian satellite or voting machine…,CRuehlicke,Wed Jun 23 09:38:53 +0000 2021
RT @The_FJC: I thought the Supreme Court told Trump he couldn't reverse Obama's executive orders without providing a valid reason (DACA)? H…,GP124u,Wed Jun 23 09:38:54 +0000 2021
RT @catturd2: Twitter 70 follower expert liberal economist 😂😂👉🤡,SumatraSue,Wed Jun 23 09:38:54 +0000 2021
"Get Trump back in ,,,,",BigStev36886185,Wed Jun 23 09:38:54 +0000 2021
"RT @justinbaragona: I love how Trump screams that @swin24 and @arawnsley's SNL story is ""Fake News"" before saying he totally thinks the DoJ…",chiaxiong,Wed Jun 23 09:38:54 +0000 2021
"RT @tomiahonen: ""Bark-bark!"" RT @JakeLobin

Lara Trump stole from dogs. 
Ted Cruz abandoned his dog. 
Mitt Romney endangered his dog. 

Now…",MrTAchilles,Wed Jun 23 09:38:54 +0000 2021
"RT @P8R1OT: 15,000 ballots (all for Trump) were found on a flash drive after first being rejected by voting software filters, you know, bec…",its_naajz12,Wed Jun 23 09:38:55 +0000 2021
RT @joncoopertweets: The evidence of Trump’s pandemic sabotage keeps piling up. https://t.co/FtTOUT0rrF,BinSherajee,Wed Jun 23 09:38:56 +0000 2021
"RT @GeorgiaStarNews: Former Trump Campaign Advisor Boris Epshteyn Predicts States Will Decertify 2020 Election Results
https://t.co/yt6D2Hf…",Nini41106485,Wed Jun 23 09:38:56 +0000 2021
"RT @saletan: “We’ll all be dead by June,” Kushner privately fretted to an HHS official in March 2020.

Meanwhile, in public, Trump assured…",BinSherajee,Wed Jun 23 09:38:58 +0000 2021
"@RepMaxineWaters It saddened me to see Trump and family watching the insurrection , with Mark Meadows and doing not… https://t.co/4OyMXet0Pw",RChris62,Wed Jun 23 09:38:58 +0000 2021
"RT @tomiahonen: The Stable Genius

Wanted to nuke a hurricane
Thought forest fires could be stopped by raking
Wanted to sell Puerto Rico -…",MrTAchilles,Wed Jun 23 09:38:58 +0000 2021
"RT @sandibachom: I'm hopping mad. It's not like this information isn't out there. I did a timeline, a minute by minute breakdown from all r…",NJ_IT_Mom,Wed Jun 23 09:38:58 +0000 2021
RT @MuellerSheWrote: Alright. I’m going to say it. I think there’s a coordinated misinformation campaign targeting the DoJ. Garland did NOT…,PMIA7,Wed Jun 23 09:38:58 +0000 2021
"RT @YourAnonCentral: Look what U.S. tax money helped fund in #Colombia.

Alvaro #Uribe's connections to the Sinaloa Cartel, Medellin Cartel…",spy_beats,Wed Jun 23 09:38:59 +0000 2021
@Cornpop4Trump45 they aren’t hiding the tapes of trump saying the virus was awful and deadly and he was worried abo… https://t.co/tqEjz94KDz,ibeasmart1,Wed Jun 23 09:39:00 +0000 2021
RT @LHatesYouALot: Breaking Exclusive: Leftist Actors Disguised Themselves &amp; Pretended to Work For Conservative News Outlets During January…,roswell2001,Wed Jun 23 09:39:00 +0000 2021
"RT @danedefrance: Comme toujours, il faut traiter les symptômes au plus tôt ! Rester chez soi 15 jours qu’avec du Doliprane, ça a fait les…",FrancisLemetay3,Wed Jun 23 09:39:00 +0000 2021
RT @RepMaxineWaters: Republicans are brazenly sweeping the January 6 insurrection under the rug and have no shame in attacking our right to…,AnalystHealth,Wed Jun 23 09:39:01 +0000 2021
We are stressed to the max after Trump nearly destroyed our country.  We need to see justice done!,DeborahHillier4,Wed Jun 23 09:39:01 +0000 2021
"According to Jim Jordan, the DOJ’s refusal to subvert the election on the basis of conspiracy theories was the actu… https://t.co/gifMLAHhop",AmberD1116,Wed Jun 23 09:39:01 +0000 2021
RT @McKaylaRoseJ: President Trump doesn't get enough credit on how many children he has saved. Taking on human trafficking is one of his bi…,MajorStash82,Wed Jun 23 09:39:01 +0000 2021
"As ""Chuck WALLS!!"" 

Chuck, all signs point to ""Trump gets SWEET WALLS!!"" #Jest",fox_theguy,Wed Jun 23 09:39:03 +0000 2021
RT @MeidasTouch: .@Amy_Siskind kept a list of all of Trump's attacks on our democracy. Here are the moments that brought her to tears—and w…,rapper7000,Wed Jun 23 09:39:03 +0000 2021
RT @newsmax: The Trump Organization is suing New York City for ending its contract for a golf course after Jan. 6: https://t.co/EXTdgWT833,jerzmomo,Wed Jun 23 09:39:03 +0000 2021
"RT @tomiahonen: LOL RT @BetteMidler

#FEC reports show Trump Campaign paid over $2.7 mil to people who helped organize the Capitol insurrec…",MrTAchilles,Wed Jun 23 09:39:04 +0000 2021
"RT @RpsAgainstTrump: Donald Trump is a loser.

Retweet if you agree!",kbhuber,Wed Jun 23 09:39:05 +0000 2021
RT @MuellerSheWrote: NEW: the Saudi operatives that murdered Khashoggi were trained in the US. The head of the parent company that trained…,cardon_brian,Wed Jun 23 09:39:05 +0000 2021
RT @ktbenner: Garland Rebuffs a Potential Broad Look at Trump-Era Justice Dept. https://t.co/2PuJFQR42b,BinSherajee,Wed Jun 23 09:39:05 +0000 2021
"10 Things in Politics: Klobuchar's elite club of donors: And Trump apparently wanted ""SNL"" investigated.… https://t.co/6Z0YEq1w4Q",BetterknowYou,Wed Jun 23 09:39:05 +0000 2021
川普集团告纽约市府毁约 求偿三千万: 川普集团（Trump Organization）6月21日对纽约市府提出控告，指市长白思豪年初撕毁纽约市府与川普集团所签的位于布朗士渡轮点的川普高尔夫球场（Trump Golf Links a… https://t.co/bgEIO6OyQc,aboluowang,Wed Jun 23 09:39:05 +0000 2021
"RT @michaeljohns: My favorite #Trump photo: 

White House South Lawn, perhaps returning after a #MAGA rally.

I join tens of millions of Am…",Nightswan_1,Wed Jun 23 09:39:05 +0000 2021
"RT @MessageFromLen: Why don’t we ask our allies in the Middle East if they think the maximum pressure campaign worked.

We can also ask Sol…",SarahSchoen22,Wed Jun 23 09:39:06 +0000 2021
